time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	inc_r_ag	inc_h_ag	inc_r_bg	inc_h_bg	w_r_ag	w_h_ag	w_r_bg	w_h_bg
4838400	10	11	0.27594939	1.093797562	0.179181751	0.416424086	0.034559502	1	1	0.00483833	0.019353321	0.003110355	0.007257496	0.14	0.56	0.09	0.21
4924800	10	11	0.280787717	1.113150868	0.182292104	0.423681575	0.034559475	1	1	0.004838327	0.019353306	0.003110353	0.00725749	0.14	0.56	0.09	0.21
5011200	10	11	0.28562604	1.132504158	0.185402454	0.430939059	0.034559447	1	1	0.004838323	0.01935329	0.00311035	0.007257484	0.14	0.56	0.09	0.21
5097600	10	11	0.290464358	1.151857432	0.188512802	0.438196537	0.034559418	1	1	0.004838319	0.019353274	0.003110348	0.007257478	0.14	0.56	0.09	0.21
5184000	10	11	0.295302672	1.17121069	0.191623147	0.445454009	0.034559388	1	1	0.004838314	0.019353257	0.003110345	0.007257471	0.14	0.56	0.09	0.21
5270400	10	11	0.300140982	1.190563929	0.194733489	0.452711474	0.034559357	1	1	0.00483831	0.01935324	0.003110342	0.007257465	0.14	0.56	0.09	0.21
5356800	10	11	0.304979288	1.209917151	0.197843828	0.459968932	0.034559325	1	1	0.004838305	0.019353222	0.003110339	0.007257458	0.14	0.56	0.09	0.21
5443200	10	11	0.309817589	1.229270354	0.200954164	0.467226383	0.034559291	1	1	0.004838301	0.019353203	0.003110336	0.007257451	0.14	0.56	0.09	0.21
5529600	10	11	0.314655885	1.248623538	0.204064497	0.474483827	0.034559257	1	1	0.004838296	0.019353184	0.003110333	0.007257444	0.14	0.56	0.09	0.21
5616000	10	11	0.319494176	1.267976702	0.207174827	0.481741263	0.034559222	1	1	0.004838291	0.019353164	0.00311033	0.007257437	0.14	0.56	0.09	0.21
5702400	10	11	0.324332461	1.287329846	0.210285154	0.488998692	0.034559185	1	1	0.004838286	0.019353144	0.003110327	0.007257429	0.14	0.56	0.09	0.21
5788800	10	11	0.329170742	1.306682969	0.213395477	0.496256113	0.034559147	1	1	0.004838281	0.019353123	0.003110323	0.007257421	0.14	0.56	0.09	0.21
5875200	10	11	0.334009017	1.326036069	0.216505797	0.503513526	0.034559109	1	1	0.004838275	0.019353101	0.00311032	0.007257413	0.14	0.56	0.09	0.21
5961600	10	11	0.338847287	1.345389148	0.219616113	0.51077093	0.034559069	1	1	0.00483827	0.019353079	0.003110316	0.007257404	0.14	0.56	0.09	0.21
6048000	10	11	0.343685551	1.364742203	0.222726426	0.518028326	0.034559028	1	1	0.004838264	0.019353055	0.003110312	0.007257396	0.14	0.56	0.09	0.21
6134400	10	11	0.348523809	1.384095235	0.225836734	0.525285713	0.034558985	1	1	0.004838258	0.019353032	0.003110309	0.007257387	0.14	0.56	0.09	0.21
6220800	10	11	0.353362061	1.403448243	0.228947039	0.532543091	0.034558942	1	1	0.004838252	0.019353007	0.003110305	0.007257378	0.14	0.56	0.09	0.21
6307200	10	11	0.358200306	1.422801225	0.23205734	0.539800459	0.034558897	1	1	0.004838246	0.019352982	0.003110301	0.007257368	0.14	0.56	0.09	0.21
6393600	10	11	0.363038545	1.442154182	0.235167636	0.547057818	0.034558851	1	1	0.004838239	0.019352957	0.003110297	0.007257359	0.14	0.56	0.09	0.21
6480000	10	11	0.367876778	1.461507112	0.238277929	0.554315167	0.034558804	1	1	0.004838233	0.01935293	0.003110292	0.007257349	0.14	0.56	0.09	0.21
6566400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558755	1	1	0.004838226	0.019352903	0.003110288	0.007257339	0.14	0.56	0.09	0.21
6652800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
6739200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
6825600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
